"","Year-Month","sentiment","n"
"579","2018_4","sadness",274
"580","2018_4","joy",212
"581","2018_4","disgust",179
"582","2018_4","surprise",150
"583","2018_4","Total",3642
"584","2018_5","negative",769
"585","2018_5","positive",756
"586","2018_5","trust",443
"587","2018_5","fear",399
"588","2018_5","anger",340
"589","2018_5","sadness",310
"590","2018_5","anticipation",287
"591","2018_5","joy",205
"592","2018_5","disgust",180
"593","2018_5","surprise",153
"594","2018_5","Total",3842
"595","2012_10","positive",274
"596","2012_10","negative",226
"597","2012_10","trust",170
"598","2012_10","fear",117
"599","2012_10","anger",106
"600","2012_10","anticipation",95
"601","2012_10","sadness",76
"602","2012_10","joy",56
"603","2012_10","disgust",54
"604","2012_10","surprise",39
"605","2012_10","Total",1213
"606","2018_6","negative",721
"607","2018_6","positive",715
"608","2018_6","trust",425
"609","2018_6","fear",379
"610","2018_6","anger",328
"611","2018_6","anticipation",298
"612","2018_6","sadness",277
"613","2018_6","joy",202
"614","2018_6","disgust",178
"615","2018_6","surprise",155
"616","2018_6","Total",3678
"617","2010_4","positive",258
"618","2010_4","trust",169
"619","2010_4","negative",161
"620","2010_4","fear",81
"621","2010_4","anticipation",80
"622","2010_4","anger",73
"623","2010_4","joy",57
"624","2010_4","sadness",55
"625","2010_4","surprise",33
"626","2010_4","disgust",28
"627","2010_4","Total",995
"628","2012_11","positive",306
"629","2012_11","negative",193
"630","2012_11","trust",183
"631","2012_11","anticipation",115
"632","2012_11","fear",113
"633","2012_11","anger",98
"634","2012_11","joy",72
"635","2012_11","sadness",68
"636","2012_11","surprise",49
"637","2012_11","disgust",45
"638","2012_11","Total",1242
"639","2018_7","negative",528
"640","2018_7","positive",525
"641","2018_7","trust",310
"642","2018_7","fear",277
"643","2018_7","anger",244
"644","2018_7","anticipation",223
"645","2018_7","sadness",203
"646","2018_7","joy",146
"647","2018_7","disgust",134
"648","2018_7","surprise",111
"649","2018_7","Total",2701
"650","2018_8","positive",502
"651","2018_8","negative",480
"652","2018_8","trust",300
"653","2018_8","fear",250
"654","2018_8","anger",218
"655","2018_8","sadness",180
"656","2018_8","anticipation",177
"657","2018_8","joy",113
"658","2018_8","disgust",112
"659","2018_8","surprise",80
"660","2018_8","Total",2412
"661","2018_9","negative",515
"662","2018_9","positive",504
"663","2018_9","trust",309
"664","2018_9","fear",277
"665","2018_9","anger",237
"666","2018_9","anticipation",204
"667","2018_9","sadness",197
"668","2018_9","disgust",146
"669","2018_9","joy",135
"670","2018_9","surprise",99
"671","2018_9","Total",2623
"672","2018_10","positive",569
"673","2018_10","negative",546
"674","2018_10","trust",345
"675","2018_10","fear",300
"676","2018_10","anger",244
"677","2018_10","anticipation",214
"678","2018_10","sadness",209
"679","2018_10","disgust",146
"680","2018_10","joy",135
"681","2018_10","surprise",117
"682","2018_10","Total",2825
"683","2018_11","positive",538
"684","2018_11","negative",501
"685","2018_11","trust",332
"686","2018_11","fear",262
"687","2018_11","anger",235
"688","2018_11","sadness",209
"689","2018_11","anticipation",200
"690","2018_11","joy",142
"691","2018_11","disgust",117
"692","2018_11","surprise",99
"693","2018_11","Total",2635
"694","2012_12","positive",358
"695","2012_12","negative",304
"696","2012_12","trust",227
"697","2012_12","fear",176
"698","2012_12","anticipation",139
"699","2012_12","anger",137
"700","2012_12","sadness",123
"701","2012_12","joy",86
"702","2012_12","disgust",76
"703","2012_12","surprise",64
"704","2012_12","Total",1690
"705","2018_12","positive",679
"706","2018_12","negative",668
"707","2018_12","trust",402
"708","2018_12","fear",352
"709","2018_12","anger",329
"710","2018_12","sadness",258
"711","2018_12","anticipation",249
"712","2018_12","disgust",176
"713","2018_12","joy",160
"714","2018_12","surprise",143
"715","2018_12","Total",3416
"716","2019_1","positive",572
"717","2019_1","negative",566
"718","2019_1","trust",350
"719","2019_1","fear",293
"720","2019_1","anger",259
"721","2019_1","anticipation",216
"722","2019_1","sadness",213
"723","2019_1","disgust",142
"724","2019_1","joy",128
"725","2019_1","surprise",115
"726","2019_1","Total",2854
"727","2019_2","positive",618
"728","2019_2","negative",599
"729","2019_2","trust",355
"730","2019_2","fear",309
"731","2019_2","anger",279
"732","2019_2","sadness",243
"733","2019_2","anticipation",237
"734","2019_2","joy",166
"735","2019_2","disgust",152
"736","2019_2","surprise",122
"737","2019_2","Total",3080
"738","2019_3","positive",526
"739","2019_3","negative",481
"740","2019_3","trust",312
"741","2019_3","fear",267
"742","2019_3","anger",213
"743","2019_3","anticipation",197
"744","2019_3","sadness",192
"745","2019_3","joy",139
"746","2019_3","surprise",110
"747","2019_3","disgust",109
"748","2019_3","Total",2546
"749","2019_4","positive",543
"750","2019_4","negative",431
"751","2019_4","trust",323
"752","2019_4","fear",236
"753","2019_4","anger",202
"754","2019_4","anticipation",188
"755","2019_4","sadness",168
"756","2019_4","joy",138
"757","2019_4","disgust",113
"758","2019_4","surprise",89
"759","2019_4","Total",2431
"760","2013_1","positive",312
"761","2013_1","negative",231
"762","2013_1","trust",188
"763","2013_1","fear",123
"764","2013_1","anger",115
"765","2013_1","anticipation",114
"766","2013_1","joy",75
"767","2013_1","sadness",73
"768","2013_1","surprise",45
"769","2013_1","disgust",42
"770","2013_1","Total",1318
"771","2019_5","positive",701
"772","2019_5","negative",681
"773","2019_5","trust",412
"774","2019_5","fear",346
"775","2019_5","anger",316
"776","2019_5","sadness",284
"777","2019_5","anticipation",269
"778","2019_5","joy",168
"779","2019_5","disgust",164
"780","2019_5","surprise",148
"781","2019_5","Total",3489
"782","2019_6","positive",662
"783","2019_6","negative",626
"784","2019_6","trust",413
"785","2019_6","fear",334
"786","2019_6","anger",282
"787","2019_6","anticipation",264
"788","2019_6","sadness",242
"789","2019_6","joy",191
"790","2019_6","disgust",141
"791","2019_6","surprise",141
"792","2019_6","Total",3296
"793","2019_7","positive",620
"794","2019_7","negative",564
"795","2019_7","trust",385
"796","2019_7","fear",317
"797","2019_7","anger",270
"798","2019_7","anticipation",239
"799","2019_7","sadness",232
"800","2019_7","disgust",158
"801","2019_7","joy",148
"802","2019_7","surprise",108
"803","2019_7","Total",3041
"804","2013_2","positive",437
"805","2013_2","negative",406
"806","2013_2","trust",265
"807","2013_2","fear",223
"808","2013_2","anger",202
"809","2013_2","anticipation",168
"810","2013_2","sadness",160
"811","2013_2","joy",102
"812","2013_2","disgust",101
"813","2013_2","surprise",83
"814","2013_2","Total",2147
"815","2019_8","negative",685
"816","2019_8","positive",656
"817","2019_8","trust",391
"818","2019_8","fear",360
"819","2019_8","anger",314
"820","2019_8","sadness",268
"821","2019_8","anticipation",260
"822","2019_8","joy",162
"823","2019_8","disgust",161
"824","2019_8","surprise",136
"825","2019_8","Total",3393
"826","2019_9","positive",528
"827","2019_9","negative",481
"828","2019_9","trust",335
"829","2019_9","fear",278
"830","2019_9","anger",244
"831","2019_9","anticipation",207
"832","2019_9","sadness",200
"833","2019_9","disgust",133
"834","2019_9","joy",130
"835","2019_9","surprise",96
"836","2019_9","Total",2632
"837","2019_10","positive",541
"838","2019_10","negative",469
"839","2019_10","trust",321
"840","2019_10","fear",273
"841","2019_10","anger",224
"842","2019_10","anticipation",205
"843","2019_10","sadness",188
"844","2019_10","joy",144
"845","2019_10","disgust",121
"846","2019_10","surprise",98
"847","2019_10","Total",2584
"848","2019_11","positive",501
"849","2019_11","negative",437
"850","2019_11","trust",312
"851","2019_11","fear",235
"852","2019_11","anger",206
"853","2019_11","anticipation",185
"854","2019_11","sadness",178
"855","2019_11","joy",125
"856","2019_11","disgust",117
"857","2019_11","surprise",98
"858","2019_11","Total",2394
"859","2019_12","positive",484
"860","2019_12","negative",430
"861","2019_12","trust",295
"862","2019_12","fear",234
"863","2019_12","anger",217
"864","2019_12","anticipation",195
"865","2019_12","sadness",163
"866","2019_12","joy",131
"867","2019_12","disgust",113
"868","2019_12","surprise",101
"869","2019_12","Total",2363
"870","2010_5","positive",384
"871","2010_5","negative",278
"872","2010_5","trust",243
"873","2010_5","fear",143
"874","2010_5","anticipation",136
"875","2010_5","anger",129
"876","2010_5","sadness",112
"877","2010_5","joy",108
"878","2010_5","disgust",66
"879","2010_5","surprise",66
"880","2010_5","Total",1665
"881","2010_6","positive",234
"882","2010_6","negative",196
"883","2010_6","trust",158
"884","2010_6","fear",101
"885","2010_6","anger",92
"886","2010_6","anticipation",87
"887","2010_6","sadness",70
"888","2010_6","joy",50
"889","2010_6","disgust",40
"890","2010_6","surprise",37
"891","2010_6","Total",1065
"892","2000_5","positive",356
"893","2000_5","negative",236
"894","2000_5","trust",224
"895","2000_5","anticipation",137
"896","2000_5","fear",131
"897","2000_5","anger",119
"898","2000_5","joy",99
"899","2000_5","sadness",93
"900","2000_5","surprise",58
"901","2000_5","disgust",54
"902","2000_5","Total",1507
"903","2000_6","positive",138
"904","2000_6","trust",90
"905","2000_6","negative",82
"906","2000_6","anticipation",53
"907","2000_6","fear",52
"908","2000_6","anger",35
"909","2000_6","joy",34
"910","2000_6","sadness",34
"911","2000_6","surprise",17
"912","2000_6","disgust",13
"913","2000_6","Total",548
"914","2000_7","positive",267
"915","2000_7","negative",164
"916","2000_7","trust",154
"917","2000_7","fear",101
"918","2000_7","anticipation",90
"919","2000_7","anger",87
"920","2000_7","sadness",70
"921","2000_7","joy",62
"922","2000_7","surprise",39
"923","2000_7","disgust",38
"924","2000_7","Total",1072
"925","2000_4","positive",280
"926","2000_4","negative",209
"927","2000_4","trust",173
"928","2000_4","fear",115
"929","2000_4","anticipation",106
"930","2000_4","anger",98
"931","2000_4","sadness",73
"932","2000_4","joy",54
"933","2000_4","surprise",38
"934","2000_4","disgust",37
"935","2000_4","Total",1183
"936","2001_5","positive",362
"937","2001_5","negative",294
"938","2001_5","trust",225
"939","2001_5","fear",156
"940","2001_5","anger",139
"941","2001_5","anticipation",127
"942","2001_5","sadness",110
"943","2001_5","joy",77
"944","2001_5","surprise",64
"945","2001_5","disgust",56
"946","2001_5","Total",1610
"947","2001_4","negative",858
"948","2001_4","positive",808
"949","2001_4","trust",477
"950","2001_4","fear",452
"951","2001_4","anger",384
"952","2001_4","sadness",353
"953","2001_4","anticipation",310
"954","2001_4","disgust",217
"955","2001_4","joy",210
"956","2001_4","surprise",180
"957","2001_4","Total",4249
"958","2001_7","positive",302
"959","2001_7","negative",231
"960","2001_7","trust",195
"961","2001_7","fear",132
"962","2001_7","anticipation",118
"963","2001_7","anger",108
"964","2001_7","sadness",100
"965","2001_7","joy",76
"966","2001_7","surprise",55
"967","2001_7","disgust",50
"968","2001_7","Total",1367
"969","2001_10","positive",416
"970","2001_10","negative",316
"971","2001_10","trust",247
"972","2001_10","fear",195
"973","2001_10","anger",162
"974","2001_10","anticipation",158
"975","2001_10","sadness",133
"976","2001_10","joy",117
"977","2001_10","disgust",78
"978","2001_10","surprise",77
"979","2001_10","Total",1899
