index,word,sentiment,score
787,access,positive,0
788,access,sadness,0
789,access,surprise,0
790,access,trust,0
791,accessible,anger,0
792,accessible,anticipation,0
793,accessible,disgust,0
794,accessible,fear,0
795,accessible,joy,0
796,accessible,negative,0
797,accessible,positive,1
798,accessible,sadness,0
799,accessible,surprise,0
800,accessible,trust,0
801,accession,anger,0
802,accession,anticipation,0
803,accession,disgust,0
804,accession,fear,0
805,accession,joy,0
806,accession,negative,0
807,accession,positive,0
808,accession,sadness,0
809,accession,surprise,0
810,accession,trust,0
811,accessory,anger,0
812,accessory,anticipation,0
813,accessory,disgust,0
814,accessory,fear,0
815,accessory,joy,0
816,accessory,negative,0
817,accessory,positive,0
818,accessory,sadness,0
819,accessory,surprise,0
820,accessory,trust,0
821,accident,anger,0
822,accident,anticipation,0
823,accident,disgust,0
824,accident,fear,1
825,accident,joy,0
826,accident,negative,1
827,accident,positive,0
828,accident,sadness,1
829,accident,surprise,1
830,accident,trust,0
831,accidental,anger,0
832,accidental,anticipation,0
833,accidental,disgust,0
834,accidental,fear,1
835,accidental,joy,0
836,accidental,negative,1
837,accidental,positive,0
838,accidental,sadness,0
839,accidental,surprise,1
840,accidental,trust,0
841,accidentally,anger,0
842,accidentally,anticipation,0
843,accidentally,disgust,0
844,accidentally,fear,0
845,accidentally,joy,0
846,accidentally,negative,0
847,accidentally,positive,0
848,accidentally,sadness,0
849,accidentally,surprise,1
850,accidentally,trust,0
851,accolade,anger,0
852,accolade,anticipation,1
853,accolade,disgust,0
854,accolade,fear,0
855,accolade,joy,1
856,accolade,negative,0
857,accolade,positive,1
858,accolade,sadness,0
859,accolade,surprise,1
860,accolade,trust,1
861,accommodate,anger,0
862,accommodate,anticipation,0
863,accommodate,disgust,0
864,accommodate,fear,0
865,accommodate,joy,0
866,accommodate,negative,0
867,accommodate,positive,0
868,accommodate,sadness,0
869,accommodate,surprise,0
870,accommodate,trust,0
871,accommodation,anger,0
872,accommodation,anticipation,0
873,accommodation,disgust,0
874,accommodation,fear,0
875,accommodation,joy,0
876,accommodation,negative,0
877,accommodation,positive,1
878,accommodation,sadness,0
879,accommodation,surprise,0
880,accommodation,trust,0
881,accompaniment,anger,0
882,accompaniment,anticipation,1
883,accompaniment,disgust,0
884,accompaniment,fear,0
885,accompaniment,joy,1
886,accompaniment,negative,0
887,accompaniment,positive,1
888,accompaniment,sadness,0
889,accompaniment,surprise,0
890,accompaniment,trust,1
891,accompany,anger,0
892,accompany,anticipation,0
893,accompany,disgust,0
894,accompany,fear,0
895,accompany,joy,0
896,accompany,negative,0
897,accompany,positive,0
898,accompany,sadness,0
899,accompany,surprise,0
900,accompany,trust,0
901,accompanying,anger,0
902,accompanying,anticipation,0
903,accompanying,disgust,0
904,accompanying,fear,0
905,accompanying,joy,0
906,accompanying,negative,0
907,accompanying,positive,0
908,accompanying,sadness,0
909,accompanying,surprise,0
910,accompanying,trust,0
911,accomplice,anger,0
912,accomplice,anticipation,0
913,accomplice,disgust,0
914,accomplice,fear,0
915,accomplice,joy,0
916,accomplice,negative,0
917,accomplice,positive,0
918,accomplice,sadness,0
919,accomplice,surprise,0
920,accomplice,trust,0
921,accomplish,anger,0
922,accomplish,anticipation,0
923,accomplish,disgust,0
924,accomplish,fear,0
925,accomplish,joy,1
926,accomplish,negative,0
927,accomplish,positive,1
928,accomplish,sadness,0
929,accomplish,surprise,0
930,accomplish,trust,0
931,accomplished,anger,0
932,accomplished,anticipation,0
933,accomplished,disgust,0
934,accomplished,fear,0
935,accomplished,joy,1
936,accomplished,negative,0
937,accomplished,positive,1
938,accomplished,sadness,0
939,accomplished,surprise,0
940,accomplished,trust,0
941,accomplishment,anger,0
942,accomplishment,anticipation,0
943,accomplishment,disgust,0
944,accomplishment,fear,0
945,accomplishment,joy,0
946,accomplishment,negative,0
947,accomplishment,positive,1
948,accomplishment,sadness,0
949,accomplishment,surprise,0
950,accomplishment,trust,0
951,accord,anger,0
952,accord,anticipation,0
953,accord,disgust,0
954,accord,fear,0
955,accord,joy,0
956,accord,negative,0
957,accord,positive,1
958,accord,sadness,0
959,accord,surprise,0
960,accord,trust,1
961,accordance,anger,0
962,accordance,anticipation,0
963,accordance,disgust,0
964,accordance,fear,0
965,accordance,joy,0
966,accordance,negative,0
967,accordance,positive,0
968,accordance,sadness,0
969,accordance,surprise,0
970,accordance,trust,0
971,accordion,anger,0
972,accordion,anticipation,0
973,accordion,disgust,0
974,accordion,fear,0
975,accordion,joy,0
976,accordion,negative,0
977,accordion,positive,0
978,accordion,sadness,0
979,accordion,surprise,0
980,accordion,trust,0
981,account,anger,0
982,account,anticipation,0
983,account,disgust,0
984,account,fear,0
985,account,joy,0
986,account,negative,0
987,account,positive,0
988,account,sadness,0
989,account,surprise,0
990,account,trust,1
991,accountability,anger,0
992,accountability,anticipation,0
993,accountability,disgust,0
994,accountability,fear,0
995,accountability,joy,0
996,accountability,negative,0
997,accountability,positive,1
998,accountability,sadness,0
999,accountability,surprise,0
1000,accountability,trust,1
1001,accountable,anger,0
1002,accountable,anticipation,0
1003,accountable,disgust,0
1004,accountable,fear,0
1005,accountable,joy,0
1006,accountable,negative,0
1007,accountable,positive,1
1008,accountable,sadness,0
1009,accountable,surprise,0
1010,accountable,trust,1
1011,accountant,anger,0
1012,accountant,anticipation,0
1013,accountant,disgust,0
1014,accountant,fear,0
1015,accountant,joy,0
1016,accountant,negative,0
1017,accountant,positive,0
1018,accountant,sadness,0
1019,accountant,surprise,0
1020,accountant,trust,1
1021,accounting,anger,0
1022,accounting,anticipation,0
1023,accounting,disgust,0
1024,accounting,fear,0
1025,accounting,joy,0
1026,accounting,negative,0
1027,accounting,positive,0
1028,accounting,sadness,0
1029,accounting,surprise,0
1030,accounting,trust,0
1031,accounts,anger,0
1032,accounts,anticipation,0
1033,accounts,disgust,0
1034,accounts,fear,0
1035,accounts,joy,0
1036,accounts,negative,0
1037,accounts,positive,0
1038,accounts,sadness,0
1039,accounts,surprise,0
1040,accounts,trust,1
1041,accredited,anger,0
1042,accredited,anticipation,0
1043,accredited,disgust,0
1044,accredited,fear,0
1045,accredited,joy,0
1046,accredited,negative,0
1047,accredited,positive,1
1048,accredited,sadness,0
1049,accredited,surprise,0
1050,accredited,trust,1
1051,accretion,anger,0
1052,accretion,anticipation,0
1053,accretion,disgust,0
1054,accretion,fear,0
1055,accretion,joy,0
1056,accretion,negative,0
1057,accretion,positive,0
1058,accretion,sadness,0
1059,accretion,surprise,0
1060,accretion,trust,0
1061,accrue,anger,0
1062,accrue,anticipation,0
1063,accrue,disgust,0
1064,accrue,fear,0
1065,accrue,joy,0
1066,accrue,negative,0
1067,accrue,positive,0
1068,accrue,sadness,0
1069,accrue,surprise,0
1070,accrue,trust,0
1071,accueil,anger,0
1072,accueil,anticipation,0
1073,accueil,disgust,0
1074,accueil,fear,0
1075,accueil,joy,0
1076,accueil,negative,0
1077,accueil,positive,1
1078,accueil,sadness,0
1079,accueil,surprise,0
1080,accueil,trust,0
1081,accumulate,anger,0
1082,accumulate,anticipation,0
1083,accumulate,disgust,0
1084,accumulate,fear,0
1085,accumulate,joy,0
1086,accumulate,negative,0
1087,accumulate,positive,0
1088,accumulate,sadness,0
1089,accumulate,surprise,0
1090,accumulate,trust,0
1091,accumulation,anger,0
1092,accumulation,anticipation,0
1093,accumulation,disgust,0
1094,accumulation,fear,0
1095,accumulation,joy,0
1096,accumulation,negative,0
1097,accumulation,positive,0
1098,accumulation,sadness,0
1099,accumulation,surprise,0
1100,accumulation,trust,0
1101,accuracy,anger,0
1102,accuracy,anticipation,0
1103,accuracy,disgust,0
1104,accuracy,fear,0
1105,accuracy,joy,0
1106,accuracy,negative,0
1107,accuracy,positive,0
1108,accuracy,sadness,0
1109,accuracy,surprise,0
1110,accuracy,trust,0
1111,accurate,anger,0
1112,accurate,anticipation,0
1113,accurate,disgust,0
1114,accurate,fear,0
1115,accurate,joy,0
1116,accurate,negative,0
1117,accurate,positive,1
1118,accurate,sadness,0
1119,accurate,surprise,0
1120,accurate,trust,1
1121,accursed,anger,1
1122,accursed,anticipation,0
1123,accursed,disgust,0
1124,accursed,fear,1
1125,accursed,joy,0
1126,accursed,negative,1
1127,accursed,positive,0
1128,accursed,sadness,1
1129,accursed,surprise,0
1130,accursed,trust,0
1131,accusation,anger,1
1132,accusation,anticipation,0
1133,accusation,disgust,1
1134,accusation,fear,0
1135,accusation,joy,0
1136,accusation,negative,1
1137,accusation,positive,0
1138,accusation,sadness,0
1139,accusation,surprise,0
1140,accusation,trust,0
1141,accusative,anger,0
1142,accusative,anticipation,0
1143,accusative,disgust,0
1144,accusative,fear,0
1145,accusative,joy,0
1146,accusative,negative,1
1147,accusative,positive,0
1148,accusative,sadness,0
1149,accusative,surprise,0
1150,accusative,trust,0
1151,accused,anger,1
1152,accused,anticipation,0
1153,accused,disgust,0
1154,accused,fear,1
1155,accused,joy,0
1156,accused,negative,1
1157,accused,positive,0
1158,accused,sadness,0
1159,accused,surprise,0
1160,accused,trust,0
1161,accuser,anger,1
1162,accuser,anticipation,0
1163,accuser,disgust,0
1164,accuser,fear,1
1165,accuser,joy,0
1166,accuser,negative,1
1167,accuser,positive,0
1168,accuser,sadness,0
1169,accuser,surprise,0
1170,accuser,trust,0
1171,accusing,anger,1
1172,accusing,anticipation,0
1173,accusing,disgust,0
1174,accusing,fear,1
1175,accusing,joy,0
1176,accusing,negative,1
