"","Year.Month","combined_negative","combined_positive","BF_negative","BF_positive","EF_negative","EF_positive"
"162","2013_3",-489,593,-410,500,-234,374
"163","2013_4",-448,526,-406,476,-107,173
"164","2013_5",-461,513,-352,399,-212,320
"165","2013_6",-683,727,-637,686,-191,307
"166","2013_7",-354,463,-173,314,-269,360
"167","2013_8",-327,400,-166,225,-209,280
"168","2013_9",-270,393,-118,184,-198,305
"169","2014_1",-382,465,-303,375,-146,217
"170","2014_10",-333,454,-272,402,-114,181
"171","2014_11",-510,603,-480,571,-179,327
"172","2014_12",-476,563,-400,490,-200,290
"173","2014_2",-382,444,-318,378,-120,169
"174","2014_3",-436,504,-376,456,-116,176
"175","2014_4",-425,498,-353,449,-175,222
"176","2014_5",-458,509,-432,468,-198,268
"177","2014_6",-340,427,-289,385,-106,161
"178","2014_7",-393,512,-341,442,-132,224
"179","2014_8",-263,361,-226,333,-81,109
"180","2014_9",-300,386,-201,329,-140,143
"181","2015_1",-301,401,-232,337,-116,180
"182","2015_10",-266,340,-205,292,-135,164
"183","2015_11",-163,256,-105,179,-107,173
"184","2015_12",-140,199,-114,170,-37,55
"185","2015_2",-191,288,-130,216,-105,161
"186","2015_3",-300,397,-208,282,-160,235
"187","2015_4",-345,422,-240,334,-212,279
"188","2015_5",-293,404,-219,333,-158,214
"189","2015_6",-274,348,-220,285,-142,203
"190","2015_7",-259,382,-236,351,-85,138
"191","2015_8",-301,361,-150,230,-226,271
"192","2015_9",-344,435,-306,412,-110,166
"193","2016_1",-382,442,-301,378,-135,164
"194","2016_10",-297,330,-154,191,-188,221
"195","2016_11",-380,422,-272,326,-254,304
"196","2016_12",-394,473,-316,394,-171,248
"197","2016_2",-180,219,-140,178,-77,103
"198","2016_3",-338,393,-114,186,-282,322
"199","2016_4",-274,338,-159,219,-171,221
"200","2016_5",-268,365,-188,269,-122,179
"201","2016_6",-237,336,-120,191,-171,253
"202","2016_7",-245,304,-171,217,-129,178
"203","2016_8",-180,244,-115,149,-126,193
"204","2016_9",-346,392,-246,302,-158,188
"205","2017_1",-375,456,-193,300,-274,365
"206","2017_10",-542,562,-386,432,-311,388
"207","2017_11",-762,811,-668,722,-442,553
"208","2017_12",-413,503,-318,390,-217,335
"209","2017_2",-596,667,-416,503,-378,477
"210","2017_3",-487,576,-368,437,-295,447
"211","2017_4",-774,801,-622,678,-456,541
"212","2017_5",-561,671,-366,486,-335,473
"213","2017_6",-609,635,-506,541,-288,386
"214","2017_7",-613,652,-477,527,-395,473
"215","2017_8",-625,629,-526,536,-357,422
"216","2017_9",-688,681,-599,601,-403,475
"217","2018_1",-474,516,-230,291,-415,468
"218","2018_10",-760,741,-546,568,-530,568
"219","2018_11",-758,721,-501,537,-571,576
"220","2018_12",-881,853,-668,678,-707,701
"221","2018_2",-564,652,-382,442,-419,523
"222","2018_3",-1059,966,-668,715,-863,822
"223","2018_4",-1031,955,-677,757,-815,780
"224","2018_5",-1001,927,-769,755,-728,733
"225","2018_6",-1071,939,-721,714,-866,788
"226","2018_7",-887,840,-528,524,-774,785
"227","2018_8",-792,750,-480,501,-627,637
"228","2018_9",-813,759,-515,503,-654,687
"229","2019_1",-773,737,-566,571,-520,557
"230","2019_10",-675,672,-469,540,-494,510
"231","2019_11",-603,646,-437,500,-462,536
"232","2019_12",-609,656,-430,483,-487,560
"233","2019_2",-790,751,-599,617,-562,569
"234","2019_3",-705,722,-481,525,-524,598
"235","2019_4",-626,684,-431,542,-440,514
"236","2019_5",-997,931,-681,700,-860,846
"237","2019_6",-911,844,-626,661,-707,696
"238","2019_7",-737,762,-564,619,-519,587
"239","2019_8",-988,906,-685,655,-819,813
"240","2019_9",-751,744,-481,527,-593,638
